tool	kind	key	scope	nullaway_suppressed_file	file	line	msg
eisop	warning	argument.type.incompatible	package	no	context-propagation/src/main/java/io/micrometer/context/ContextRegistry.java	108	incompatible argument for parameter accessor of ContextRegistry.registerThreadLocalAccessor.
eisop	warning	argument.type.incompatible	package	no	context-propagation/src/main/java/io/micrometer/context/DefaultContextSnapshot.java	103	incompatible argument for parameter arg1 of Map.put.
eisop	warning	argument.type.incompatible	package	no	context-propagation/src/main/java/io/micrometer/context/DefaultContextSnapshot.java	112	incompatible argument for parameter arg1 of Map.put.
eisop	warning	methodref.param.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextRegistry.java	92	Incompatible parameter type for arg0
eisop	warning	override.param.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	60	Incompatible parameter type for task.
eisop	warning	override.param.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	65	Incompatible parameter type for result.
eisop	warning	override.param.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	75	Incompatible parameter type for tasks.
eisop	warning	override.param.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	83	Incompatible parameter type for tasks.
eisop	warning	override.param.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	92	Incompatible parameter type for tasks.
eisop	warning	override.param.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	100	Incompatible parameter type for tasks.
eisop	warning	override.param.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextScheduledExecutorService.java	53	Incompatible parameter type for callable.
eisop	warning	override.return.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	60	Incompatible return type.
eisop	warning	override.return.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	65	Incompatible return type.
eisop	warning	override.return.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	70	Incompatible return type.
eisop	warning	override.return.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	75	Incompatible return type.
eisop	warning	override.return.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	83	Incompatible return type.
eisop	warning	override.return.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextScheduledExecutorService.java	48	Incompatible return type.
eisop	warning	override.return.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextScheduledExecutorService.java	53	Incompatible return type.
eisop	warning	override.return.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextScheduledExecutorService.java	58	Incompatible return type.
eisop	warning	override.return.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextScheduledExecutorService.java	63	Incompatible return type.
eisop	warning	override.typaram.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	60	Incompatible bound for type parameter T.
eisop	warning	override.typaram.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	65	Incompatible bound for type parameter T.
eisop	warning	override.typaram.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	75	Incompatible bound for type parameter T.
eisop	warning	override.typaram.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	83	Incompatible bound for type parameter T.
eisop	warning	override.typaram.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	92	Incompatible bound for type parameter T.
eisop	warning	override.typaram.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextExecutorService.java	100	Incompatible bound for type parameter T.
eisop	warning	override.typaram.invalid	package	no	context-propagation/src/main/java/io/micrometer/context/ContextScheduledExecutorService.java	53	Incompatible bound for type parameter V.
eisop	warning	type.argument.type.incompatible	package	no	context-propagation/src/main/java/io/micrometer/context/ContextRegistry.java	91	incompatible type argument for type parameter T of ThreadLocal.
eisop	warning	type.argument.type.incompatible	package	no	context-propagation/src/main/java/io/micrometer/context/ContextRegistry.java	108	incompatible type argument for type parameter V of ThreadLocalAccessor.
errorprone	warning	NotJavadoc	package	no	context-propagation/src/main/java/io/micrometer/context/integration/package-info.java	1	This element has multiple Javadoc comments; only the last one will be used.
errorprone	warning	NotJavadoc	package	no	context-propagation/src/main/java/io/micrometer/context/package-info.java	1	This element has multiple Javadoc comments; only the last one will be used.
errorprone	warning	TypeParameterUnusedInFormals	package	no	context-propagation/src/main/java/io/micrometer/context/ContextAccessor.java	64	Declaring a type parameter that is only used in the return type is a misuse of generics: operations on the type parameter are unchecked, it hides unsafe casts at invocations of the method, and it interacts badly with method overload resolution.
